"text","retweet_count","favorited","truncated","id_str","in_reply_to_screen_name","source","retweeted","created_at","in_reply_to_status_id_str","in_reply_to_user_id_str","lang","listed_count","verified","location","user_id_str","description","geo_enabled","user_created_at","statuses_count","followers_count","favourites_count","protected","user_url","name","time_zone","user_lang","utc_offset","friends_count","screen_name","country_code","country","place_type","full_name","place_name","place_id","place_lat","place_lon","lat","lon","expanded_url","url"
"Si entraste a chismear mi Twitter, deseo tu cuerpo aguascalientoso que tienes primor.",0,FALSE,FALSE,"707625065622286336",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>",FALSE,"Wed Mar 09 17:52:17 +0000 2016",NA,NA,"es",100,FALSE,"Jalisco, Mex.","1027195892","☚ᴵʳʳᵉᵃˡ ʸ ᴳʳᵒˢᵉʳᵒ☛    Sinaloense radicando en Jalisco.                              soy del 23 de marzo.  #DealerDeCasino",TRUE,"Fri Dec 21 21:33:22 +0000 2012",20186,8227,169427,FALSE,"http://twitter.com/ElverGhalargas","ΣLVΣR GHΔLΔRGΔ ♛","Central Time (US & Canada)","es",-21600,973,"ElverGhalargas","MX","México","city","Zapopan, Jalisco",NA,NA,20.790657,-103.4847745,20.60592842,-103.43218231,NA,NA
"Ya casi (@ Centro Deportivo Universitario (CDU-UADY) in Merida) https://t.co/yvb2RtBEIQ https://t.co/My94NCChVl",0,FALSE,FALSE,"707625069774823424",NA,"<a href=""http://foursquare.com"" rel=""nofollow"">Foursquare</a>",FALSE,"Wed Mar 09 17:52:18 +0000 2016",NA,NA,"es",3,FALSE,NA,"125467223","Ex futbolista profesional canterano de pumas de la unam México 2006 !",TRUE,"Mon Mar 22 22:43:38 +0000 2010",35883,823,240,FALSE,NA,"hugo ortega' !","Mexico City","es",-21600,686,"hugo_leonel","MX","México","city","Mérida, Yucatán",NA,NA,20.941035,-89.623611,20.97799458,-89.60182186,"https://www.swarmapp.com/c/5OfohTLskoM","https://t.co/yvb2RtBEIQ"
"Munchies! (@ Tacos Golo) https://t.co/BWDqPksWgT",0,FALSE,FALSE,"707625082198364161",NA,"<a href=""http://foursquare.com"" rel=""nofollow"">Foursquare</a>",FALSE,"Wed Mar 09 17:52:21 +0000 2016",NA,NA,"es",3,FALSE,"Acapulcoooooo ","774751105","Acapulco, ID 30*1*848569
Insta:FABIIECALLEJA 
Snap:FabbiolaCalleja",TRUE,"Wed Aug 22 23:53:08 +0000 2012",32848,973,19406,FALSE,"http://www.facebook.com/fabbiola.calleja","FABBBBSSS","Eastern Time (US & Canada)","es",-18000,356,"FabbyCalleja","MX","México","city","Acapulco de Juárez, Guerrero",NA,NA,16.9589495,-99.7356495,16.864754,-99.86935,"https://www.swarmapp.com/c/1XnsNyLpb5S","https://t.co/BWDqPksWgT"
"������ @ Fracc. Vida Mejor https://t.co/XjqqEZ4NET",0,FALSE,FALSE,"707625103681392640",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",FALSE,"Wed Mar 09 17:52:26 +0000 2016",NA,NA,"es",1,FALSE,"Chiapas","434582528",NA,TRUE,"Mon Dec 12 01:55:16 +0000 2011",9793,961,9488,FALSE,"http://www.instagram.com/cristobal_vazquez","Negro!","Central Time (US & Canada)","es",-21600,1734,"Cristobal_Vaz","MX","México","city","Tuxtla Gutiérrez, Chiapas",NA,NA,16.7424355,-93.1396595,16.75320689,-93.06049406,"https://www.instagram.com/p/BCvcgEvBZ2re1WEDRQUX8Vhy8vhLolytu2kb0U0/","https://t.co/XjqqEZ4NET"
"Hoy como cada Día, hay que empezarlo con Alegría ������ @ Centro Histórico de Valladolid https://t.co/JGjYzl8GXp",0,FALSE,FALSE,"707625111973572608",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",FALSE,"Wed Mar 09 17:52:28 +0000 2016",NA,NA,"es",7,FALSE,"Yucatán, México","177691014","Conductor de Tv, Animador y Bailarin de Eventos Sociales y parte del grupo de Animacion ☆Antrax Whats: 985-105-32-78 y 985-106-41-65",TRUE,"Thu Aug 12 20:42:20 +0000 2010",7064,967,227,FALSE,NA,"DANNY MJ",NA,"es",NA,2017,"danny_valla","MX","México","city","Valladolid, Yucatán",NA,NA,20.5580215,-88.085541,20.69030728,-88.20170545,"https://www.instagram.com/p/BCvcgUixh5q/","https://t.co/JGjYzl8GXp"
"De aventura ������ Vendiendolo todo! ������ @ Villa Allende, Veracruz https://t.co/JhqrpurDDh",0,FALSE,FALSE,"707625120592961537",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",FALSE,"Wed Mar 09 17:52:30 +0000 2016",NA,NA,"es",3,FALSE,NA,"360340614",NA,TRUE,"Tue Aug 23 02:02:03 +0000 2011",34677,799,2491,FALSE,"http://convencionescoatzacoalcos.com/","♦ Karen Balcazar ♦","Central Time (US & Canada)","es",-21600,1179,"KarenGBalcazar","MX","México","city","Coatzacoalcos, Veracruz de Ignacio de la Llave",NA,NA,18.135455,-94.432482,18.15411383,-94.37933227,"https://www.instagram.com/p/BCvcgzMtYLdwv5tcpOouZKl_Y-sDixTYMyXb-M0/","https://t.co/JhqrpurDDh"
"Típico que no barrer ni trapear porque hay balacera",0,FALSE,FALSE,"707625156613517312",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",FALSE,"Wed Mar 09 17:52:39 +0000 2016",NA,NA,"es",1,FALSE,NA,"479202250",NA,TRUE,"Tue Jan 31 03:49:00 +0000 2012",1832,14,79,FALSE,NA,"eneache♪","Mountain Time (US & Canada)","es",-25200,18,"naherj","MX","México","city","Tampico, Tamaulipas",NA,NA,22.270295,-97.916772,22.2419899,-97.8641674,NA,NA
"En la civilización! ������ (@ Universidad La Salle Pachuca Campus La Luz in Pachuca, Hidalgo) https://t.co/3r2MB0kDsf",0,FALSE,FALSE,"707625162590425088",NA,"<a href=""http://foursquare.com"" rel=""nofollow"">Foursquare</a>",FALSE,"Wed Mar 09 17:52:40 +0000 2016",NA,NA,"es",18,FALSE,"México","68785347","Locutor,actor,productor,director,titiritero,editor,camarógrafo,animador y conductor, lo que el cliente pida.",TRUE,"Tue Aug 25 19:36:18 +0000 2009",8496,1649,1369,FALSE,NA,"Dime Bauquero","Central Time (US & Canada)","es",-21600,1720,"CarlosMiguelBau","MX","México","city","Pachuca de Soto, Hidalgo",NA,NA,20.1056375,-98.775808,20.12109609,-98.7339136,"https://www.swarmapp.com/c/kgVPhl72ODv","https://t.co/3r2MB0kDsf"
"Pero ha pasado el tiempo y yo también cambie",0,FALSE,FALSE,"707625207989600256",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",FALSE,"Wed Mar 09 17:52:51 +0000 2016",NA,NA,"es",0,FALSE,"Nuevo León, México","1324022960","Future engineer
bonjour",TRUE,"Wed Apr 03 06:57:40 +0000 2013",11494,230,2159,FALSE,NA,"MAB✨",NA,"es",NA,791,"mabelycorett","MX","México","city","Apodaca, Nuevo León",NA,NA,25.778679,-100.1687175,25.7646194,-100.162092,NA,NA
"Boda por por lo civil de Julissa, recibiendo el mes de la primavera,… https://t.co/z8Q1quziDq",0,FALSE,FALSE,"707625220266446848",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",FALSE,"Wed Mar 09 17:52:54 +0000 2016",NA,NA,"es",11,FALSE,"Tabasco ","262027319","Lic. Relaciones Públicas, conducción y organización de eventos, social, responsable, católico y comprometido con macuspana.",TRUE,"Mon Mar 07 05:35:27 +0000 2011",10538,287,156,FALSE,NA,"Jorge Najera Zurita","Mexico City","es",-21600,269,"RPJorgeNajeraz","MX","México","city","Macuspana, Tabasco",NA,NA,17.8554375,-92.422415,17.7803044,-92.61369778,"https://www.instagram.com/p/BCvcjrRP3rRMh_QI6vYwsIWwHjd8KdWFnv4N9c0/","https://t.co/z8Q1quziDq"
